,trading_steps,episode,reward,accumulated_transfer,number_trades,mark_up,trading_budget,episode_steps,agent
0,1,0,-17.44499999999999,0.0,0.0,1.0,"[100.0, 100.0]",29,overall
1,1,0,-0.14500000000000005,0.0,0.0,1.0,"[100.0, 100.0]",29,a-1
2,1,0,-17.29999999999999,0.0,0.0,1.0,"[100.0, 100.0]",29,a-2
3,1,1,-16.73999999999999,0.0,0.0,1.0,"[100.0, 100.0]",28,overall
4,1,1,-16.59999999999999,0.0,0.0,1.0,"[100.0, 100.0]",28,a-1
5,1,1,-0.14000000000000004,0.0,0.0,1.0,"[100.0, 100.0]",28,a-2
6,1,2,-27.42999999999998,0.12895383332905017,3.0,1.0,"[100.0, 100.0]",46,overall
7,1,2,-29.07104616667093,0.0,0.0,1.0,"[100.0, 100.0]",46,a-1
8,1,2,1.6410461666709506,0.12895383332905017,3.0,1.0,"[100.0, 100.0]",46,a-2
9,1,3,-17.85499999999999,0.2450159976356908,2.0,1.0,"[100.0, 100.0]",31,overall
10,1,3,-18.4549840023643,0.0,0.0,1.0,"[100.0, 100.0]",31,a-1
11,1,3,0.599984002364309,0.2450159976356908,2.0,1.0,"[100.0, 100.0]",31,a-2
12,1,4,-6.165000000000001,0.0,1.0,1.0,"[100.0, 100.0]",13,overall
13,1,4,-6.1000000000000005,0.0,0.0,1.0,"[100.0, 100.0]",13,a-1
14,1,4,-0.06499999999999999,0.0,1.0,1.0,"[100.0, 100.0]",13,a-2
15,1,5,-14.329999999999993,0.0,6.0,1.0,"[100.0, 100.0]",26,overall
16,1,5,-15.199999999999992,0.0,0.0,1.0,"[100.0, 100.0]",26,a-1
17,1,5,0.8699999999999999,0.0,6.0,1.0,"[100.0, 100.0]",26,a-2
18,1,6,-25.60999999999998,0.1902760957416735,2.0,1.0,"[100.0, 100.0]",42,overall
19,1,6,2.5997239042583273,0.1902760957416735,2.0,1.0,"[100.0, 100.0]",42,a-1
20,1,6,-28.209723904258308,0.0,0.0,1.0,"[100.0, 100.0]",42,a-2
21,1,7,-15.034999999999993,0.30009821841591283,3.0,1.0,"[100.0, 100.0]",27,overall
22,1,7,0.564901781584087,0.30009821841591283,3.0,1.0,"[100.0, 100.0]",27,a-1
23,1,7,-15.59990178158408,0.0,0.0,1.0,"[100.0, 100.0]",27,a-2
24,1,8,-16.444999999999993,0.38791104366904805,3.0,1.0,"[100.0, 100.0]",29,overall
25,1,8,0.46708895633095193,0.38791104366904805,3.0,1.0,"[100.0, 100.0]",29,a-1
26,1,8,-16.912088956330944,0.0,0.0,1.0,"[100.0, 100.0]",29,a-2
27,1,9,-13.329999999999991,0.2615757992393092,3.0,1.0,"[100.0, 100.0]",26,overall
28,1,9,2.6084242007606924,0.2615757992393092,3.0,1.0,"[100.0, 100.0]",26,a-1
29,1,9,-15.938424200760684,0.0,0.0,1.0,"[100.0, 100.0]",26,a-2
30,1,10,-13.919999999999993,0.0,0.0,1.0,"[100.0, 100.0]",24,overall
31,1,10,-13.799999999999994,0.0,0.0,1.0,"[100.0, 100.0]",24,a-1
32,1,10,-0.12000000000000004,0.0,0.0,1.0,"[100.0, 100.0]",24,a-2
33,1,11,-4.755000000000001,0.0,0.0,1.0,"[100.0, 100.0]",11,overall
34,1,11,-4.700000000000001,0.0,0.0,1.0,"[100.0, 100.0]",11,a-1
35,1,11,-0.05499999999999999,0.0,0.0,1.0,"[100.0, 100.0]",11,a-2
36,1,12,-15.739999999999991,0.0,0.0,1.0,"[100.0, 100.0]",28,overall
37,1,12,-16.59999999999999,0.0,0.0,1.0,"[100.0, 100.0]",28,a-1
38,1,12,0.86,0.0,0.0,1.0,"[100.0, 100.0]",28,a-2
39,1,13,-13.624999999999993,0.3437905562551398,5.0,1.0,"[100.0, 100.0]",25,overall
40,1,13,0.5312094437448601,0.3437905562551398,5.0,1.0,"[100.0, 100.0]",25,a-1
41,1,13,-14.156209443744853,0.0,0.0,1.0,"[100.0, 100.0]",25,a-2
42,1,14,-11.509999999999996,0.4362266942074425,2.0,1.0,"[100.0, 100.0]",22,overall
43,1,14,0.4537733057925575,0.4362266942074425,2.0,1.0,"[100.0, 100.0]",22,a-1
44,1,14,-11.963773305792554,0.0,0.0,1.0,"[100.0, 100.0]",22,a-2
45,1,15,-15.034999999999993,0.2663110431871916,1.0,1.0,"[100.0, 100.0]",27,overall
46,1,15,-15.6336889568128,0.0,0.0,1.0,"[100.0, 100.0]",27,a-1
