,trading_steps,episode,reward,accumulated_transfer,number_trades,mark_up,trading_budget,episode_steps,agent
0,0,0,-20.379999999999985,0.0,0.0,1.15,"[100.0, 100.0]",36,overall
1,0,0,2.8200000000000003,0.0,0.0,1.15,"[100.0, 100.0]",36,a-1
2,0,0,-23.199999999999985,0.0,0.0,1.15,"[100.0, 100.0]",36,a-2
3,0,1,-14.03499999999999,0.0,0.0,1.15,"[100.0, 100.0]",27,overall
4,0,1,1.8650000000000024,0.0,0.0,1.15,"[100.0, 100.0]",27,a-1
5,0,1,-15.899999999999991,0.0,0.0,1.15,"[100.0, 100.0]",27,a-2
6,0,2,-4.050000000000001,0.0,0.0,1.15,"[100.0, 100.0]",10,overall
7,0,2,2.9500000000000006,0.0,0.0,1.15,"[100.0, 100.0]",10,a-1
8,0,2,-7.000000000000001,0.0,0.0,1.15,"[100.0, 100.0]",10,a-2
9,0,3,-15.73999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,overall
10,0,3,2.8600000000000017,0.0,0.0,1.15,"[100.0, 100.0]",28,a-1
11,0,3,-18.59999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,a-2
12,0,4,-14.73999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,overall
13,0,4,1.8600000000000019,0.0,0.0,1.15,"[100.0, 100.0]",28,a-1
14,0,4,-16.59999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,a-2
15,0,5,-5.46,0.0,0.0,1.15,"[100.0, 100.0]",12,overall
16,0,5,-8.4,0.0,0.0,1.15,"[100.0, 100.0]",12,a-1
17,0,5,2.9400000000000004,0.0,0.0,1.15,"[100.0, 100.0]",12,a-2
18,0,6,-15.444999999999988,0.0,0.0,1.15,"[100.0, 100.0]",29,overall
19,0,6,1.8550000000000022,0.0,0.0,1.15,"[100.0, 100.0]",29,a-1
20,0,6,-17.29999999999999,0.0,0.0,1.15,"[100.0, 100.0]",29,a-2
21,0,7,-14.739999999999995,0.0,0.0,1.15,"[100.0, 100.0]",28,overall
22,0,7,-16.599999999999994,0.0,0.0,1.15,"[100.0, 100.0]",28,a-1
23,0,7,1.8600000000000003,0.0,0.0,1.15,"[100.0, 100.0]",28,a-2
24,0,8,-19.969999999999985,0.0,0.0,1.15,"[100.0, 100.0]",34,overall
25,0,8,2.8300000000000005,0.0,0.0,1.15,"[100.0, 100.0]",34,a-1
26,0,8,-22.799999999999986,0.0,0.0,1.15,"[100.0, 100.0]",34,a-2
27,0,9,-16.034999999999993,0.0,0.0,1.15,"[100.0, 100.0]",27,overall
28,0,9,-15.899999999999991,0.0,0.0,1.15,"[100.0, 100.0]",27,a-1
29,0,9,-0.13500000000000004,0.0,0.0,1.15,"[100.0, 100.0]",27,a-2
30,0,10,-4.755000000000001,0.0,0.0,1.15,"[100.0, 100.0]",11,overall
31,0,10,-4.700000000000001,0.0,0.0,1.15,"[100.0, 100.0]",11,a-1
32,0,10,-0.05499999999999999,0.0,0.0,1.15,"[100.0, 100.0]",11,a-2
33,0,11,-12.624999999999993,0.0,0.0,1.15,"[100.0, 100.0]",25,overall
34,0,11,-14.499999999999993,0.0,0.0,1.15,"[100.0, 100.0]",25,a-1
35,0,11,1.8750000000000002,0.0,0.0,1.15,"[100.0, 100.0]",25,a-2
36,0,12,-14.624999999999991,0.0,0.0,1.15,"[100.0, 100.0]",25,overall
37,0,12,2.8750000000000018,0.0,0.0,1.15,"[100.0, 100.0]",25,a-1
38,0,12,-17.499999999999993,0.0,0.0,1.15,"[100.0, 100.0]",25,a-2
39,0,13,-27.724999999999977,0.0,0.0,1.15,"[100.0, 100.0]",45,overall
40,0,13,2.7750000000000017,0.0,0.0,1.15,"[100.0, 100.0]",45,a-1
41,0,13,-30.49999999999998,0.0,0.0,1.15,"[100.0, 100.0]",45,a-2
42,0,14,-11.509999999999994,0.0,0.0,1.15,"[100.0, 100.0]",22,overall
43,0,14,0.8899999999999999,0.0,0.0,1.15,"[100.0, 100.0]",22,a-1
44,0,14,-12.399999999999995,0.0,0.0,1.15,"[100.0, 100.0]",22,a-2
45,0,15,-11.919999999999991,0.0,0.0,1.15,"[100.0, 100.0]",24,overall
46,0,15,-14.799999999999992,0.0,0.0,1.15,"[100.0, 100.0]",24,a-1
47,0,15,2.8800000000000017,0.0,0.0,1.15,"[100.0, 100.0]",24,a-2
48,0,16,-19.264999999999986,0.0,0.0,1.15,"[100.0, 100.0]",33,overall
49,0,16,-20.099999999999987,0.0,0.0,1.15,"[100.0, 100.0]",33,a-1
50,0,16,0.8349999999999999,0.0,0.0,1.15,"[100.0, 100.0]",33,a-2
51,0,17,-40.41500000000001,0.0,0.0,1.15,"[100.0, 100.0]",63,overall
52,0,17,-41.100000000000016,0.0,0.0,1.15,"[100.0, 100.0]",63,a-1
53,0,17,0.6849999999999998,0.0,0.0,1.15,"[100.0, 100.0]",63,a-2
54,0,18,-13.624999999999991,0.0,0.0,1.15,"[100.0, 100.0]",25,overall
55,0,18,2.8750000000000018,0.0,0.0,1.15,"[100.0, 100.0]",25,a-1
56,0,18,-16.499999999999993,0.0,0.0,1.15,"[100.0, 100.0]",25,a-2
57,0,19,-14.73999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,overall
58,0,19,-17.59999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,a-1
59,0,19,2.8600000000000017,0.0,0.0,1.15,"[100.0, 100.0]",28,a-2
60,0,20,-6.164999999999999,0.0,0.0,1.15,"[100.0, 100.0]",13,overall
61,0,20,-9.1,0.0,0.0,1.15,"[100.0, 100.0]",13,a-1
62,0,20,2.9350000000000005,0.0,0.0,1.15,"[100.0, 100.0]",13,a-2
63,0,21,-14.739999999999988,0.0,0.0,1.15,"[100.0, 100.0]",28,overall
64,0,21,1.8600000000000023,0.0,0.0,1.15,"[100.0, 100.0]",28,a-1
65,0,21,-16.59999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,a-2
66,0,22,-27.314999999999976,0.0,0.0,1.15,"[100.0, 100.0]",43,overall
67,0,22,-30.09999999999998,0.0,0.0,1.15,"[100.0, 100.0]",43,a-1
68,0,22,2.785000000000002,0.0,0.0,1.15,"[100.0, 100.0]",43,a-2
69,0,23,-28.42999999999998,0.0,0.0,1.15,"[100.0, 100.0]",46,overall
70,0,23,-29.199999999999978,0.0,0.0,1.15,"[100.0, 100.0]",46,a-1
71,0,23,0.7699999999999998,0.0,0.0,1.15,"[100.0, 100.0]",46,a-2
72,0,24,-14.73999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,overall
73,0,24,-17.59999999999999,0.0,0.0,1.15,"[100.0, 100.0]",28,a-1
74,0,24,2.8600000000000017,0.0,0.0,1.15,"[100.0, 100.0]",28,a-2
75,0,25,-12.214999999999996,0.0,0.0,1.15,"[100.0, 100.0]",23,overall
76,0,25,0.8849999999999999,0.0,0.0,1.15,"[100.0, 100.0]",23,a-1
77,0,25,-13.099999999999996,0.0,0.0,1.15,"[100.0, 100.0]",23,a-2
78,0,26,-40.82500000000002,0.0,0.0,1.15,"[100.0, 100.0]",65,overall
79,0,26,-43.50000000000002,0.0,0.0,1.15,"[100.0, 100.0]",65,a-1
80,0,26,2.675000000000002,0.0,0.0,1.15,"[100.0, 100.0]",65,a-2
81,0,27,-13.214999999999993,0.0,0.0,1.15,"[100.0, 100.0]",23,overall
82,0,27,2.8850000000000016,0.0,0.0,1.15,"[100.0, 100.0]",23,a-1
