,episode,contracting,reward,number_contracts,episode_steps,reward_a0,accumulated_transfer_a0,greedy_a0,reward_a1,accumulated_transfer_a1,greedy_a1
0,0,True,-0.32000000000000006,0,36,-0.65,0.0,0.0,0.32999999999999996,0.0,0.0
1,1,True,4.52,0,22,-0.24000000000000005,0.0,0.0,4.76,0.0,0.0
2,2,True,4.5200000000000005,0,12,3.2362215912342074,0.0,0.0,1.2837784087657929,0.0,0.0
3,3,True,-0.06000000000000005,0,22,-0.52,0.0,0.0,0.45999999999999996,0.0,0.0
4,4,True,4.279999999999999,0,48,-0.3600000000000001,0.0,0.0,4.64,0.0,0.0
5,5,True,0.7599999999999999,0,10,0.8699999999999999,0.0,0.0,-0.11000000000000001,0.0,0.0
6,6,True,4.120000000000001,0,18,-0.43999999999999995,0.0,0.0,4.5600000000000005,0.0,0.0
7,7,True,4.5600000000000005,0,16,0.7632765758037566,0.0,0.0,3.7967234241962435,0.0,0.0
8,8,True,-0.04000000000000026,0,44,0.46999999999999986,0.0,0.0,-0.5100000000000001,0.0,0.0
9,9,True,3.8599999999999994,0,54,-0.5700000000000002,0.0,0.0,4.43,0.0,0.0
10,10,True,3.6799999999999997,0,52,-0.6600000000000001,0.0,0.0,4.34,0.0,0.0
11,11,True,0.27999999999999986,0,26,0.6299999999999999,0.0,0.0,-0.35000000000000003,0.0,0.0
12,12,True,4.44,0,26,3.7935226571559912,0.0,0.0,0.6464773428440093,0.0,0.0
13,13,True,0.2799999999999998,0,48,-0.3500000000000001,0.0,0.0,0.6299999999999999,0.0,0.0
14,14,True,-0.18000000000000038,0,64,-0.5800000000000002,0.99,0.0,0.3999999999999998,0.0,0.0
15,15,True,4.460000000000001,0,8,4.73,0.0,0.0,-0.26999999999999996,0.0,0.0
16,16,True,4.32,0,14,-0.33999999999999997,0.0,0.0,4.66,0.0,0.0
17,17,True,0.6399999999999999,0,4,-0.16999999999999998,0.0,0.0,0.8099999999999999,0.0,0.0
18,18,True,-0.5000000000000004,0,76,-0.7400000000000002,0.0,0.0,0.23999999999999977,0.0,0.0
19,19,True,3.119999999999999,0,92,-0.9400000000000002,0.0,0.0,4.06,0.0,0.0
20,20,True,0.6199999999999999,0,6,0.7999999999999999,0.0,0.0,-0.18,0.0,0.0
21,21,True,-0.16000000000000014,0,42,-0.5700000000000001,0.0,0.0,0.4099999999999999,0.0,0.0
22,22,True,0.17999999999999994,0,26,0.58,0.0,0.0,-0.4,0.0,0.0
23,23,True,4.08,0,32,4.54,0.0,0.0,-0.46,0.0,0.0
24,24,True,0.26,0,18,0.62,0.0,0.0,-0.36,0.0,0.0
25,25,True,0.4799999999999998,0,22,0.7299999999999999,0.0,0.0,-0.25000000000000006,0.0,0.0
26,26,True,4.44,0,26,4.720000000000001,0.0,0.0,-0.2800000000000001,0.0,0.0
