,episode,contracting,reward,number_contracts,episode_steps,reward_a0,accumulated_transfer_a0,reward_a1,accumulated_transfer_a1
0,0,False,-10.79999999999998,0,120,-0.8000000000000002,0.0,-9.999999999999979,0.0
1,1,False,-15.899999999999967,0,120,-9.999999999999973,0.0,-5.899999999999993,0.0
2,2,False,-7.200000000000001,0,67,-3.5000000000000013,0.0,-3.6999999999999997,0.0
3,3,False,-19.99999999999996,0,120,-9.999999999999982,0.0,-9.999999999999979,0.0
4,4,False,-12.699999999999985,0,120,-2.7000000000000037,0.0,-9.99999999999998,0.0
5,5,False,-20.99999999999995,0,120,-10.999999999999975,0.0,-9.999999999999977,0.0
6,6,False,-15.399999999999965,0,117,-8.699999999999983,0.0,-6.6999999999999815,0.0
7,7,False,-19.999999999999957,0,120,-9.999999999999973,0.0,-9.999999999999982,0.0
8,8,False,-14.299999999999978,0,120,-3.300000000000003,0.0,-10.999999999999975,0.0
9,9,False,-14.099999999999973,0,120,-9.999999999999979,0.0,-4.099999999999994,0.0
10,10,False,-12.299999999999985,0,120,-9.999999999999982,0.0,-2.3000000000000025,0.0
11,11,False,-16.399999999999963,0,116,-7.799999999999981,0.0,-8.59999999999998,0.0
12,12,False,-19.999999999999964,0,120,-9.99999999999998,0.0,-9.999999999999982,0.0
13,13,False,-12.89999999999998,0,120,-2.900000000000003,0.0,-9.999999999999979,0.0
14,14,False,-11.099999999999977,0,120,-9.999999999999975,0.0,-1.1000000000000005,0.0
15,15,False,-20.999999999999957,0,120,-10.999999999999977,0.0,-9.999999999999979,0.0
16,16,False,-19.999999999999964,0,120,-9.999999999999982,0.0,-9.999999999999982,0.0
17,17,False,-19.999999999999957,0,120,-9.999999999999973,0.0,-9.999999999999982,0.0
18,18,False,-19.999999999999964,0,120,-9.999999999999982,0.0,-9.99999999999998,0.0
19,19,False,-14.899999999999974,0,120,-9.99999999999998,0.0,-4.899999999999992,0.0
20,20,False,-14.999999999999975,0,107,-7.299999999999988,0.0,-7.699999999999987,0.0
21,21,False,-19.999999999999964,0,120,-9.99999999999998,0.0,-9.999999999999982,0.0
22,22,False,-9.799999999999992,0,94,-3.400000000000001,0.0,-6.3999999999999915,0.0
23,23,False,-15.899999999999958,0,120,-5.899999999999984,0.0,-9.999999999999973,0.0
24,24,False,-17.399999999999956,0,120,-10.999999999999973,0.0,-6.399999999999983,0.0
25,25,False,-8.49999999999998,0,117,0.20000000000000007,0.0,-8.69999999999998,0.0
26,26,False,-21.999999999999954,0,120,-11.999999999999973,0.0,-9.99999999999998,0.0
27,27,False,-13.199999999999982,0,120,-3.2000000000000006,0.0,-9.99999999999998,0.0
28,28,False,-3.100000000000003,0,51,-2.100000000000002,0.0,-1.0000000000000013,0.0
